Price,BD,BA,SQFT,Address,City,State,Zip,ImageUrl,Description,Info
"$941,349",6 beds,3 baths,"1,594 sqft","1487 Cedar St, Los Angeles, CA 13126",Los Angeles,CA,13126,http://10.27.27.12:3000/_next/image?url=%2Freal-estate-2.jpg&w=640&q=75,A stylish retreat with modern finishes and space for the whole family.,"Large garage
Well-maintained backyard
Walking distance to parks"
"$695,789",6 beds,3 baths,"1,594 sqft","3305 Oak St, Las Vegas, NV 46799",Las Vegas,NV,46799,http://10.27.27.12:3000/_next/image?url=%2Freal-estate-3.jpg&w=640&q=75,Comfortable living meets convenience in this inviting property.,"Ocean view
Well-maintained backyard
Pet-friendly
Large garage"
"$620,968",6 beds,3 baths,"1,594 sqft","3534 Pine St, Boston, MA 51007",Boston,MA,51007,http://10.27.27.12:3000/_next/image?url=%2Freal-estate-3.jpg&w=640&q=75,Super cool house. Buy this sweet home and never disappoint your friends/family again!,"Pet-friendly
Well-maintained backyard
Close to public transport
Ocean view"
"$460,026",6 beds,3 baths,"1,594 sqft","2788 Cedar St, Austin, TX 28321",Austin,TX,28321,http://10.27.27.12:3000/_next/image?url=%2Freal-estate-5.jpg&w=640&q=75,"Designed for entertaining, this home offers open spaces and cozy corners.","Recently renovated
Swimming pool"
"$414,883",6 beds,3 baths,"1,594 sqft","2322 Oak St, Atlanta, GA 67255",Atlanta,GA,67255,http://10.27.27.12:3000/_next/image?url=%2Freal-estate-4.jpg&w=640&q=75,A move-in ready gem with timeless charm and practical upgrades.,"Modern kitchen with new appliances
Close to public transport
Gated community"
"$851,812",6 beds,3 baths,"1,594 sqft","1130 Pine St, Philadelphia, PA 52990",Philadelphia,PA,52990,http://10.27.27.12:3000/_next/image?url=%2Freal-estate-3.jpg&w=640&q=75,Spacious rooms and thoughtful details make this house feel like home.,"Close to public transport
Modern kitchen with new appliances"
"$861,534",6 beds,3 baths,"1,594 sqft","3257 Pine St, Orlando, FL 75034",Orlando,FL,75034,http://10.27.27.12:3000/_next/image?url=%2Freal-estate-2.jpg&w=640&q=75,"Perfect for gatherings, with a layout that flows seamlessly indoors and out.","Pet-friendly
Recently renovated"
"$850,736",6 beds,3 baths,"1,594 sqft","5000 Pine St, Denver, CO 89569",Denver,CO,89569,http://10.27.27.12:3000/_next/image?url=%2Freal-estate-4.jpg&w=640&q=75,A bright and airy home that balances comfort with sophistication.,"Walking distance to parks
Pet-friendly
Well-maintained backyard"
"$476,604",6 beds,3 baths,"1,594 sqft","3916 Oak St, Atlanta, GA 48927",Atlanta,GA,48927,http://10.27.27.12:3000/_next/image?url=%2Freal-estate-3.jpg&w=640&q=75,Contemporary design blended with warm accents throughout.,"Gated community
Swimming pool
Close to public transport
Recently renovated"
"$305,652",6 beds,3 baths,"1,594 sqft","2070 Cedar St, Atlanta, GA 73881",Atlanta,GA,73881,http://10.27.27.12:3000/_next/image?url=%2Freal-estate-3.jpg&w=640&q=75,"A private getaway in the heart of the city, offering both comfort and style.","Large garage
Swimming pool
Walking distance to parks
Recently renovated"
"$876,222",6 beds,3 baths,"1,594 sqft","4321 Oak St, Portland, OR 57558",Portland,OR,57558,http://10.27.27.12:3000/_next/image?url=%2Freal-estate-5.jpg&w=640&q=75,Freshly updated home that combines character with modern convenience.,"Well-maintained backyard
Gated community
Ocean view
Close to public transport"
"$974,712",6 beds,3 baths,"1,594 sqft","2693 Oak St, Boston, MA 30595",Boston,MA,30595,http://10.27.27.12:3000/_next/image?url=%2Freal-estate-1.jpg&w=640&q=75,A versatile property that adapts easily to family life or entertaining guests.,"Ocean view
Gated community
Pet-friendly"
"$400,800",6 beds,3 baths,"1,594 sqft","4868 Maple St, New York, NY 72040",New York,NY,72040,http://10.27.27.12:3000/_next/image?url=%2Freal-estate-4.jpg&w=640&q=75,"Natural light floods this home, highlighting its open plan and finishes.","Close to public transport
Swimming pool"
"$326,471",6 beds,3 baths,"1,594 sqft","1912 Oak St, Atlanta, GA 82111",Atlanta,GA,82111,http://10.27.27.12:3000/_next/image?url=%2Freal-estate-2.jpg&w=640&q=75,Super cool house. Buy this sweet home and never disappoint your friends/family again!,"Large garage
Walking distance to parks
Swimming pool
Close to public transport"
"$808,791",6 beds,3 baths,"1,594 sqft","1982 Maple St, Atlanta, GA 74238",Atlanta,GA,74238,http://10.27.27.12:3000/_next/image?url=%2Freal-estate-5.jpg&w=640&q=75,Super cool house. Buy this sweet home and never disappoint your friends/family again!,"Modern kitchen with new appliances
Well-maintained backyard"
"$760,582",6 beds,3 baths,"1,594 sqft","2201 Elm St, Chicago, IL 56455",Chicago,IL,56455,http://10.27.27.12:3000/_next/image?url=%2Freal-estate-3.jpg&w=640&q=75,Super cool house. Buy this sweet home and never disappoint your friends/family again!,"Gated community
Large garage"
"$825,483",6 beds,3 baths,"1,594 sqft","2753 Oak St, Miami, FL 72289",Miami,FL,72289,http://10.27.27.12:3000/_next/image?url=%2Freal-estate-2.jpg&w=640&q=75,Super cool house. Buy this sweet home and never disappoint your friends/family again!,"Well-maintained backyard
Swimming pool
Pet-friendly"
"$432,946",6 beds,3 baths,"1,594 sqft","1372 Oak St, San Diego, CA 96479",San Diego,CA,96479,http://10.27.27.12:3000/_next/image?url=%2Freal-estate-4.jpg&w=640&q=75,Super cool house. Buy this sweet home and never disappoint your friends/family again!,"Recently renovated
Gated community
Swimming pool"
"$935,409",6 beds,3 baths,"1,594 sqft","2892 Maple St, Philadelphia, PA 76479",Philadelphia,PA,76479,http://10.27.27.12:3000/_next/image?url=%2Freal-estate-3.jpg&w=640&q=75,Super cool house. Buy this sweet home and never disappoint your friends/family again!,"Walking distance to parks
Modern kitchen with new appliances
Large garage
Pet-friendly"
"$405,073",6 beds,3 baths,"1,594 sqft","4702 Oak St, Detroit, MI 80577",Detroit,MI,80577,http://10.27.27.12:3000/_next/image?url=%2Freal-estate-1.jpg&w=640&q=75,Super cool house. Buy this sweet home and never disappoint your friends/family again!,"Pet-friendly
Close to public transport
Well-maintained backyard
Swimming pool"
"$975,836",6 beds,4 baths,"3,239 sqft","2897 Elm St, New York, NY 89221",New York,NY,89221,http://10.27.27.12:3000/_next/image?url=%2Freal-estate-5.jpg&w=640&q=75,Super cool house. Buy this sweet home and never disappoint your friends/family again!,"Modern kitchen with new appliances
Pet-friendly
Recently renovated
Well-maintained backyard"
"$710,471",6 beds,4 baths,"3,239 sqft","1755 Pine St, Las Vegas, NV 88509",Las Vegas,NV,88509,http://10.27.27.12:3000/_next/image?url=%2Freal-estate-1.jpg&w=640&q=75,Super cool house. Buy this sweet home and never disappoint your friends/family again!,"Recently renovated
Walking distance to parks
Ocean view
Swimming pool"
"$765,644",6 beds,4 baths,"3,239 sqft","3954 Pine St, Chicago, IL 59760",Chicago,IL,59760,http://10.27.27.12:3000/_next/image?url=%2Freal-estate-2.jpg&w=640&q=75,Super cool house. Buy this sweet home and never disappoint your friends/family again!,"Well-maintained backyard
Close to public transport"
"$951,396",6 beds,4 baths,"3,239 sqft","2198 Elm St, Washington, DC 39604",Washington,DC,39604,http://10.27.27.12:3000/_next/image?url=%2Freal-estate-4.jpg&w=640&q=75,Super cool house. Buy this sweet home and never disappoint your friends/family again!,"Pet-friendly
Close to public transport
Recently renovated
Well-maintained backyard"
"$413,780",6 beds,4 baths,"3,239 sqft","3880 Pine St, Los Angeles, CA 32840",Los Angeles,CA,32840,http://10.27.27.12:3000/_next/image?url=%2Freal-estate-2.jpg&w=640&q=75,Super cool house. Buy this sweet home and never disappoint your friends/family again!,"Walking distance to parks
Close to public transport
Recently renovated
Well-maintained backyard"
